Model,Lab,Parameters(B),Announced,Type
phi-3-medium,Microsoft,14.0,2024/04/01,EN-available
phi-3-mini,Microsoft,3.8,2024/04/01,EN-available
Llama 3 70B,Meta AI,70.0,2024/04/01,EN-available
Zamba 7B,Zyphra,7.0,2024/04/01,EN-available
Idefics2,Hugging Face,8.4,2024/04/01,EN-available
Reka Core,Reka AI,300.0,2024/04/01,EN-available
WizardLM-2-8x22B,Microsoft,141.0,2024/04/01,EN-available
Pile-T5,EleutherAI,11.0,2024/04/01,EN-available
Zephyr 141B-A35B,Hugging Face H4,35.0,2024/04/01,EN-available
Rerank 3,Cohere,104.0,2024/04/01,EN-available
gpt-4-turbo-2024-04-09,OpenAI,,2024/04/01,EN-available
MiniCPM-2.4B,Tsinghua,2.4,2024/04/01,EN-available
Ferret-UI,Apple,13.0,2024/04/01,EN-available
mixtral-8x22b,Mistral,141.0,2024/04/01,EN-available
Sailor,Sail,7.0,2024/04/01,EN-available
JetMoE-8B,MIT,8.0,2024/04/01,EN-available
Eurus,Tsinghua,70.0,2024/04/01,EN-available
Command-R+,Cohere,104.0,2024/04/01,EN-available
Viking,Silo AI,33.0,2024/04/01,EN-available
OLMo-Bitnet-1B,Nous Research,1.0,2024/04/01,EN-available
Aurora-M,International,15.5,2024/03/01,EN-available
Qwen1.5-MoE-A2.7B,Alibaba,14.3,2024/03/01,EN-available
Grok-1.5,xAI,314.0,2024/03/01,EN-available
Jamba,AI21,52.0,2024/03/01,EN-available
DBRX,MosaicML,132.0,2024/03/01,EN-available
Stable Code Instruct 3B,Stability AI,2.7,2024/03/01,EN-available
EvoLLM-JP,Sakana AI,10.0,2024/03/01,EN-available
RakutenAI-7B,Rakuten Group,7.0,2024/03/01,EN-available
Parakeet,Independent,0.378,2024/03/01,EN-available
RWKV-v5 EagleX,RWKV,7.52,2024/03/01,EN-available
Command-R,Cohere,35.0,2024/03/01,EN-available
DeepSeek-VL,DeepSeek-AI,7.0,2024/03/01,EN-available
AnyGPT,Fudan University,7.0,2024/03/01,EN-available
Stable Beluga 2.5,Stability AI,70.0,2024/03/01,EN-available
Inflection-2.5,Inflection AI,1200.0,2024/03/01,EN-available
Apollo,SRIBD/CUHK,7.0,2024/03/01,EN-available
Claude 3 Opus,Anthropic,2000.0,2024/03/01,EN-available
Nemotron-4 15B,NVIDIA,15.0,2024/02/01,EN-available
TowerLLM,Unbabel,7.0,2024/02/01,EN-available
Hawk,Google DeepMind,7.0,2024/02/01,EN-available
Griffin,Google DeepMind,14.0,2024/02/01,EN-available
BitNet b1.58,Microsoft,70.0,2024/02/01,EN-available
Aya-101,Cohere,13.0,2024/02/01,EN-available
Cosmo-1B,HF,1.8,2024/02/01,EN-available
Poro,Silo AI,34.2,2024/02/01,EN-available
StarCoder 2,HF/ServiceNow,15.0,2024/02/01,EN-available
Mistral Small,Mistral,7.0,2024/02/01,EN-available
Mistral Large,Mistral,300.0,2024/02/01,EN-available
Hanooman,Reliance,40.0,2024/02/01,EN-available
Reka Edge,Reka AI,7.0,2024/02/01,EN-available
Reka Flash,Reka AI,21.0,2024/02/01,EN-available
Gemma,Google DeepMind,7.0,2024/02/01,EN-available
Gemini 1.5 Pro,Google DeepMind,1500.0,2024/02/01,EN-available
Qwen-1.5 72B,Alibaba,72.0,2024/02/01,EN-available
GOODY-2,BRAIN,,2024/02/01,EN-available
Natural-SQL-7B,ChatDB,7.0,2024/02/01,EN-available
Sea-Lion,AI Singapore,7.5,2024/02/01,EN-available
OLMo,Allen AI,7.0,2024/02/01,EN-available
FLOR-6.3B,Cerebras,6.3,2024/01/01,EN-available
Weaver,AIWaves.cn,34.0,2024/01/01,EN-available
miqu 70b,Mistral,70.0,2024/01/01,EN-available
iFlytekSpark-13B,iFlyTek,13.0,2024/01/01,EN-available
Xinghuo 3.5 (Spark),iFlyTek,200.0,2024/01/01,EN-available
MGIE,Apple,7.0,2024/01/01,EN-available
CodeLlama-70B,Meta AI,70.0,2024/01/01,EN-available
RWKV-v5 Eagle 7B,RWKV,7.52,2024/01/01,EN-available
MaLA-500,LMU,10.0,2024/01/01,EN-available
DeepSeek-Coder,DeepSeek-AI,33.0,2024/01/01,EN-available
FuseLLM,Tencent,7.0,2024/01/01,EN-available
Orion-14B,OrionStar,14.0,2024/01/01,EN-available
InternLM2,Shanghai AI Laboratory/SenseTime,20.0,2024/01/01,EN-available
GLM-4,Zhipu AI (Tsinghua),200.0,2024/01/01,EN-available
DeepSeek,DeepSeek-AI,67.0,2024/01/01,EN-available
LLaMA Pro,Tencent,8.3,2024/01/01,EN-available
Palmyra X,Writer,72.0,2024/01/01,EN-available
TinyLlama,SUTD/Independent,1.1,2024/01/01,EN-available
Unified-IO 2,Allen AI,7.0,2023/12/01,EN-available
YAYI 2,Wenge,30.0,2023/12/01,EN-available
Emu2,BAAI,37.0,2023/12/01,EN-available
SOLAR-10.7B,Upstage AI,10.7,2023/12/01,EN-available
DeciLM-7B,Deci,7.04,2023/12/01,EN-available
Mistral-medium,Mistral,180.0,2023/12/01,EN-available
mixtral-8x7b-32kseqlen,Mistral,46.7,2023/12/01,EN-available
StripedHyena 7B,Together,7.65,2023/12/01,EN-available
NexusRaven-V2 13B,Nexusflow.ai ,,2023/12/01,EN-available
Gemini Ultra 1.0,Google DeepMind,1500.0,2023/12/01,EN-available
Mamba,CMU,2.8,2023/12/01,EN-available
SeaLLM-13b,Alibaba,13.0,2023/12/01,EN-available
pplx-70b-online,Perplexity,70.0,2023/11/01,EN-available
SeamlessM4T-Large v2,Meta AI,2.3,2023/11/01,EN-available
Yuan 2.0,IEIT,102.6,2023/11/01,EN-available
MEDITRON,EPFL,70.0,2023/11/01,EN-available
Starling-7B,Berkeley,7.0,2023/11/01,EN-available
Inflection-2,Inflection AI,1200.0,2023/11/01,EN-available
Claude 2.1,Anthropic,130.0,2023/11/01,EN-available
TÜLU 2,Allen AI,70.0,2023/11/01,EN-available
Nemotron-3 22B,NVIDIA,22.0,2023/11/01,EN-available
Phi-2,Microsoft,2.7,2023/11/01,EN-available
Florence-2,Microsoft,0.771,2023/11/01,EN-available
OtterHD-8B,NTU,8.0,2023/11/01,EN-available
Grok-1,xAI,314.0,2023/11/01,EN-available
Yi-34B,01-ai,34.4,2023/11/01,EN-available
GPT-4 Turbo,OpenAI,,2023/11/01,EN-available
Skywork-13B,Kunlun Tech,13.0,2023/10/01,EN-available
Kimi Chat,Moonshot AI,100.0,2023/10/01,EN-available
jina-embeddings-v2,Jina AI,0.435,2023/10/01,EN-available
Fuyu,Adept,8.0,2023/10/01,EN-available
ERNIE 4.0,Baidu,1000.0,2023/10/01,EN-available
Zephyr,Hugging Face H4,7.3,2023/10/01,EN-available
Retro 48B,NVIDIA,48.0,2023/10/01,EN-available
Ferret,Apple,13.0,2023/10/01,EN-available
Lemur,XLANG Lab,70.0,2023/10/01,EN-available
AceGPT,KAUST/Shenzhen,13.0,2023/10/01,EN-available
RT-X,Google DeepMind,55.0,2023/10/01,EN-available
Qwen,Alibaba,72.0,2023/09/01,EN-available
LeoLM,Hessian AI/LAION,13.0,2023/09/01,EN-available
Mistral 7B,Mistral,7.3,2023/09/01,EN-available
Baichuan 2,Baichuan,13.0,2023/09/01,EN-available
BOLT2.5B,ThirdAI,2.5,2023/09/01,EN-available
DeciLM,Deci,5.7,2023/09/01,EN-available
MoLM,IBM,8.0,2023/09/01,EN-available
NExT-GPT,Singapore,7.0,2023/09/01,EN-available
Phi-1.5,Microsoft,1.3,2023/09/01,EN-available
UniLM,Apple,0.034,2023/09/01,EN-available
Persimmon-8B,Adept,8.0,2023/09/01,EN-available
FLM-101B,BAAI,101.0,2023/09/01,EN-available
Falcon 180B,TII,180.0,2023/09/01,EN-available
Hunyuan,Tencent,100.0,2023/09/01,EN-available
phi-CTNL,Independent,0.1,2023/09/01,EN-available
Jais,Inception,13.0,2023/08/01,EN-available
Code Llama 34B,Meta AI,34.0,2023/08/01,EN-available
IDEFICS,Hugging Face,80.0,2023/08/01,EN-available
DukunLM,AzaleAI,13.0,2023/08/01,EN-available
WizardLM,Microsoft,70.0,2023/08/01,EN-available
Platypus,Boston University,70.0,2023/08/01,EN-available
Japanese StableLM Alpha 7B,Stability AI,7.0,2023/08/01,EN-available
Stable Code 3B,Stability AI,2.7,2023/08/01,EN-available
Med-Flamingo,Stanford,8.3,2023/07/01,EN-available
Alfred-40B-0723,LightOn,40.0,2023/07/01,EN-available
LLaMA-2-7B-32K,Together,7.0,2023/07/01,EN-available
BTLM-3B-8K,Cerebras,3.0,2023/07/01,EN-available
Stable Beluga 2,Stability AI,70.0,2023/07/01,EN-available
Stable Beluga 1,Stability AI,65.0,2023/07/01,EN-available
Meta-Transformer,Shanghai AI Laboratory/CUHK,2.0,2023/07/01,EN-available
Llama 2,Meta AI,70.0,2023/07/01,EN-available
Claude 2,Anthropic,130.0,2023/07/01,EN-available
LongLLaMA,IDEAS/DeepMind,7.0,2023/07/01,EN-available
XGen,Salesforce,7.0,2023/07/01,EN-available
Zhinao (Intellectual Brain),360 cn,100.0,2023/07/01,EN-available
Kosmos-2,Microsoft,1.6,2023/06/01,EN-available
Inflection-1,Inflection AI,120.0,2023/06/01,EN-available
BlenderBot 3x,Meta AI,175.0,2023/06/01,EN-available
PandaGPT,Cambridge/Tencent,13.0,2023/05/01,EN-available
Falcon,TII,40.0,2023/05/01,EN-available
Guanaco,UW,65.0,2023/05/01,EN-available
CodeT5+,Salesforce,16.0,2023/05/01,EN-available
PaLM 2,Google,340.0,2023/05/01,EN-available
StarCoder,HF/ServiceNow,15.5,2023/05/01,EN-available
MPT,MosaicML,7.0,2023/05/01,EN-available
Pi,Inflection AI,60.0,2023/05/01,EN-available
GPT-2B-001,NVIDIA,2.0,2023/05/01,EN-available
Titan,Amazon,200.0,2023/04/01,EN-available
WizardLM,Microsoft,7.0,2023/04/01,EN-available
MPT,MosaicML,1.3,2023/04/01,EN-available
StableLM,Stability AI,65.0,2023/04/01,EN-available
Dolly 2.0,Databricks,12.0,2023/04/01,EN-available
Pythia,EleutherAI,12.0,2023/04/01,EN-available
Koala-13B,Berkeley,13.0,2023/04/01,EN-available
C1.2,Character.ai,33.0,2023/03/01,EN-available
OpenFlamingo-9B,LAION,8.3,2023/03/01,EN-available
GPT4All-LoRa,Nomic,7.0,2023/03/01,EN-available
Cerebras-GPT,Cerebras,13.0,2023/03/01,EN-available
"GPT-4 Classic (gpt-4-0314 & gpt-4-0613, non-Turbo)",OpenAI,1760.0,2023/03/01,EN-available
Alpaca,Stanford,7.0,2023/03/01,EN-available
Jurassic-2,AI21,178.0,2023/03/01,EN-available
GPT-NeoX-Chat-Base-20B,Together,20.0,2023/03/01,EN-available
LLaMA-65B,Meta AI,65.0,2023/02/01,EN-available
MOSS,Fudan University,16.0,2023/02/01,EN-available
Palmyra,Writer,20.0,2023/02/01,EN-available
Luminous Supreme Control,Aleph Alpha,70.0,2023/02/01,EN-available
Multimodal-CoT,Amazon,0.738,2023/02/01,EN-available
OPT-IML,Meta AI,175.0,2022/12/01,EN-available
ERNIE-Code,Baidu,0.56,2022/12/01,EN-available
ChatGPT (gpt-3.5-turbo),OpenAI,20.0,2022/11/01,EN-available
text-davinci-003,OpenAI,,2022/11/01,EN-available
GPT-JT,Together,6.0,2022/11/01,EN-available
RWKV-4,RWKV,14.0,2022/11/01,EN-available
Galactica,Meta AI,120.0,2022/11/01,EN-available
mT0,BigScience,13.0,2022/11/01,EN-available
BLOOMZ,BigScience,176.0,2022/11/01,EN-available
PACT,Microsoft,,2022/10/01,EN-available
Flan-T5,Google,11.0,2022/10/01,EN-available
VIMA,NVIDIA,0.2,2022/10/01,EN-available
OpenChat,Tsinghua,13.0,2022/09/01,EN-available
WeLM,Wechat,10.0,2022/09/01,EN-available
CodeGeeX,Tsinghua,13.0,2022/09/01,EN-available
NeMo Megatron-GPT 20B,NVIDIA,20.0,2022/09/01,EN-available
Atlas,Meta AI,11.0,2022/08/01,EN-available
BlenderBot 3,Meta AI,175.0,2022/08/01,EN-available
GLM-130B,Tsinghua,130.0,2022/08/01,EN-available
AlexaTM 20B,Amazon,20.0,2022/08/01,EN-available
NLLB,Meta AI,54.5,2022/07/01,EN-available
J-1 RBG,AI21,178.0,2022/07/01,EN-available
BLOOM (tr11-176B-ml),BigScience,176.0,2022/07/01,EN-available
GODEL-XL,Microsoft,2.7,2022/06/01,EN-available
YaLM 100B,Yandex,100.0,2022/06/01,EN-available
GPT-4chan,Independent,6.0,2022/06/01,EN-available
Diffusion-LM,Stanford,0.3,2022/05/01,EN-available
OPT-175B,Meta AI,175.0,2022/05/01,EN-available
Tk-Instruct,Hugging Face,11.0,2022/04/01,EN-available
InCoder,Meta AI,6.7,2022/04/01,EN-available
SeeKeR,Meta AI,2.7,2022/03/01,EN-available
CodeGen,Salesforce,16.0,2022/03/01,EN-available
VLM-4,LightOn,10.0,2022/03/01,EN-available
CodeT5,Salesforce,0.7,2022/03/01,EN-available
GPT-NeoX-20B,EleutherAI,20.0,2022/02/01,EN-available
CM3,Meta AI,13.0,2022/01/01,EN-available
ERNIE 3.0 Titan,Baidu,260.0,2021/12/01,EN-available
XGLM,Meta AI,7.5,2021/12/01,EN-available
Fairseq,Meta AI,1100.0,2021/12/01,EN-available
Luminous,Aleph Alpha,200.0,2021/11/01,EN-available
DeBERTaV3,Microsoft,1.5,2021/11/01,EN-available
Cedille FR-Boris,Coteries,6.0,2021/11/01,EN-available
Command xlarge,Cohere,52.4,2021/09/01,EN-available
PLATO-XL,Baidu,11.0,2021/09/01,EN-available
Codex,OpenAI,12.0,2021/08/01,EN-available
Jurassic-1,AI21,178.0,2021/08/01,EN-available
BlenderBot 2.0,Meta AI,9.4,2021/07/01,EN-available
GPT-J,EleutherAI,6.0,2021/06/01,EN-available
ruGPT-3,Huawei/Sberbank,1.3,2021/02/01,EN-available
Switch,Google,1600.0,2021/01/01,EN-available
GPT-3,OpenAI,175.0,2020/05/01,EN-available
SpreadsheetLLM,Microsoft,1760.0,2024/07/01,EN-unavailable
FLAMe,Google DeepMind,24.0,2024/07/01,EN-unavailable
Causal Axioms,Microsoft,0.067,2024/07/01,EN-unavailable
CriticGPT,OpenAI,,2024/06/01,EN-unavailable
ESM3,EvolutionaryScale,98.0,2024/06/01,EN-unavailable
PanGu 5.0 Super,Huawei,1000.0,2024/06/01,EN-unavailable
DCLM-Baseline 7B 2.6T,International,7.0,2024/06/01,EN-unavailable
xLSTM,ELLIS,2.7,2024/05/01,EN-unavailable
Med-Gemini-L 1.0,Google DeepMind,1500.0,2024/05/01,EN-unavailable
HLAT,Amazon,7.0,2024/04/01,EN-unavailable
ReALM-3B,Apple,3.0,2024/03/01,EN-unavailable
MM1,Apple,30.0,2024/03/01,EN-unavailable
RFM-1,Covariant,8.0,2024/03/01,EN-unavailable
Samba-1,SambaNova,1400.0,2024/02/01,EN-unavailable
530B,ByteDance,530.0,2024/02/01,EN-unavailable
175B,ByteDance,175.0,2024/02/01,EN-unavailable
Ask,Apple,20.0,2024/02/01,EN-unavailable
TimesFM,Google,0.2,2024/02/01,EN-unavailable
Audio Flamingo,NVIDIA,1.0,2024/02/01,EN-unavailable
MambaByte,Cornell,0.972,2024/01/01,EN-unavailable
Fuyu-Heavy,Adept,120.0,2024/01/01,EN-unavailable
DeepSeekMoE,DeepSeek-AI,16.0,2024/01/01,EN-unavailable
DocLLM,JPMorgan,7.0,2024/01/01,EN-unavailable
WaveCoder-DS-6.7B,Microsoft,6.7,2023/12/01,EN-unavailable
YunShan,Huawei,7.0,2023/12/01,EN-unavailable
PanGu-Pi,Huawei,7.0,2023/12/01,EN-unavailable
MedLM,Google DeepMind,,2023/12/01,EN-unavailable
LVM-3B,Berkeley/JHU,3.0,2023/12/01,EN-unavailable
Q-Transformer,Google DeepMind,,2023/11/01,EN-unavailable
Transformers-Arithmetic,Microsoft,0.1,2023/11/01,EN-unavailable
Nemotron-2 43B,NVIDIA,43.0,2023/11/01,EN-unavailable
Orca 2,Microsoft,13.0,2023/11/01,EN-unavailable
Mirasol3B,Google DeepMind,3.0,2023/11/01,EN-unavailable
Gauss,Samsung,7.0,2023/11/01,EN-unavailable
Grok-0,xAI,33.0,2023/11/01,EN-unavailable
PaLI-3,Google DeepMind,5.0,2023/10/01,EN-unavailable
Yasa-1,Reka AI,,2023/10/01,EN-unavailable
MotionLM,Waymo,0.09,2023/09/01,EN-unavailable
GAIA-1,Wayve,9.0,2023/09/01,EN-unavailable
Llama 2 Long,Meta AI,70.0,2023/09/01,EN-unavailable
Kosmos-2.5,Microsoft,1.3,2023/09/01,EN-unavailable
Raven,UI/NVIDIA,11.0,2023/08/01,EN-unavailable
Med-PaLM M,Google DeepMind,540.0,2023/07/01,EN-unavailable
WormGPT,(Undisclosed),6.0,2023/07/01,EN-unavailable
xTrimoPGLM,Tsinghua,100.0,2023/07/01,EN-unavailable
Yasa,Reka AI,,2023/06/01,EN-unavailable
AudioPaLM,Google,340.0,2023/06/01,EN-unavailable
Phi-1,Microsoft,1.3,2023/06/01,EN-unavailable
InternLM,Shanghai AI Laboratory/SenseTime,104.0,2023/06/01,EN-unavailable
Orca,Microsoft,13.0,2023/06/01,EN-unavailable
PassGPT,ETH Zürich,,2023/06/01,EN-unavailable
DIDACT,Google DeepMind,,2023/06/01,EN-unavailable
LTM-1,Magic,,2023/06/01,EN-unavailable
GPT-4 MathMix,OpenAI,1760.0,2023/05/01,EN-unavailable
202305-refact2b-mqa-lion,Refact,1.6,2023/05/01,EN-unavailable
LIMA,Meta AI,65.0,2023/05/01,EN-unavailable
Formosa (FFM),Asus/TWS,176.0,2023/05/01,EN-unavailable
BloombergGPT,Bloomberg,50.0,2023/03/01,EN-unavailable
PanGu-Sigma,Huawei,1085.0,2023/03/01,EN-unavailable
CoLT5,Google,5.2,2023/03/01,EN-unavailable
Med-PaLM 2,Google DeepMind,,2023/03/01,EN-unavailable
Kosmos-1,Microsoft,1.6,2023/02/01,EN-unavailable
Toolformer+Atlas 11B+NLLB 54B,Meta AI,6.7,2023/02/01,EN-unavailable
FLAME,Microsoft,0.06,2023/01/01,EN-unavailable
Med-PaLM 1,Google DeepMind,540.0,2022/12/01,EN-unavailable
RL-CAI,Anthropic,52.0,2022/12/01,EN-unavailable
RT-1,Google,0.035,2022/12/01,EN-unavailable
SED,DeepMind,,2022/11/01,EN-unavailable
Flan-PaLM,Google,540.0,2022/10/01,EN-unavailable
U-PaLM,Google,540.0,2022/10/01,EN-unavailable
Sparrow,DeepMind,70.0,2022/09/01,EN-unavailable
PaLI,Google,17.0,2022/09/01,EN-unavailable
Z-Code++,Microsoft,0.71,2022/08/01,EN-unavailable
6.9B FIM,OpenAI,6.9,2022/07/01,EN-unavailable
‘monorepo-Transformer’,Google,0.5,2022/07/01,EN-unavailable
PanGu-Coder,Huawei,2.6,2022/07/01,EN-unavailable
Minerva,Google,540.0,2022/06/01,EN-unavailable
Unified-IO,Allen AI,2.8,2022/06/01,EN-unavailable
Perceiver AR,DeepMind,1.0,2022/06/01,EN-unavailable
LIMoE,Google,5.6,2022/06/01,EN-unavailable
UL2 20B,Google,20.0,2022/05/01,EN-unavailable
Gato (Cat),DeepMind,1.0,2022/05/01,EN-unavailable
LaMDA 2,Google,137.0,2022/05/01,EN-unavailable
NOOR,TII,10.0,2022/04/01,EN-unavailable
mGPT,Sber,13.0,2022/04/01,EN-unavailable
PaLM-Coder,Google,540.0,2022/04/01,EN-unavailable
PaLM,Google,540.0,2022/04/01,EN-unavailable
Chinchilla,DeepMind,70.0,2022/03/01,EN-unavailable
Gopher,DeepMind,280.0,2021/12/01,EN-unavailable
GLaM,Google,1200.0,2021/12/01,EN-unavailable
Anthropic-LM 52B,Anthropic,52.0,2021/12/01,EN-unavailable
RETRO,DeepMind,7.5,2021/12/01,EN-unavailable
BERT-480,Google,480.0,2021/11/01,EN-unavailable
BERT-200,Google,200.0,2021/11/01,EN-unavailable
MT-NLG,Microsoft/NVIDIA,530.0,2021/10/01,EN-unavailable
FLAN,Google,137.0,2021/09/01,EN-unavailable
Macaw,Allen AI,11.0,2021/09/01,EN-unavailable
LaMDA,Google,137.0,2021/06/01,EN-unavailable
